k,mean_precision_at_k,mean_recall_at_k,mean_hit_rate_at_k,mean_ndcg_at_k
1,0.94,0.19933333333333333,0.94,0.94
2,0.51,0.21533333333333332,0.98,0.6150436419229851
3,0.3666666666666666,0.23233333333333334,0.98,0.4988869171193431
4,0.285,0.24033333333333332,0.98,0.43161643880909023
5,0.23599999999999993,0.24933333333333332,0.98,0.39846189348627503
6,0.19999999999999996,0.2533333333333333,0.98,0.4109079212924502
7,0.17142857142857137,0.2533333333333333,0.98,0.41577152299422154
8,0.1575,0.2663333333333333,1.0,0.427117158711072
9,0.14,0.2663333333333333,1.0,0.43150942870865877
10,0.12999999999999998,0.2743333333333333,1.0,0.43543100014191294
11,0.11818181818181818,0.2743333333333333,1.0,0.4392152540101796
12,0.10999999999999999,0.2783333333333333,1.0,0.4410483345687463
13,0.10615384615384615,0.29233333333333333,1.0,0.4487128709222046
14,0.09999999999999998,0.29633333333333334,1.0,0.4541837201020643
15,0.09466666666666666,0.30033333333333334,1.0,0.459527222404761
16,0.08875,0.30033333333333334,1.0,0.46475638534541985
17,0.08352941176470587,0.30033333333333334,1.0,0.46988213921470856
18,0.0788888888888889,0.30033333333333334,1.0,0.471478965922322
19,0.07473684210526316,0.30033333333333334,1.0,0.471478965922322
20,0.073,0.30933333333333335,1.0,0.47480085814933765
